,sequence,gdaxi,ftse,gspc
,,,,
Date,,,,
2010-09-14,9299.3095703125,6275.41015625,5567.39990234375,1121.0999755859375
2010-09-15,9299.3095703125,6261.8701171875,5555.60009765625,1125.0699462890625
2010-09-16,9509.5,6249.64990234375,5540.10009765625,1124.6600341796875
2010-09-17,9626.08984375,6209.759765625,5508.5,1125.5899658203125
2010-09-20,9626.08984375,6294.580078125,5602.5,1142.7099609375
2010-09-21,9602.1103515625,6275.97998046875,5576.2001953125,1139.780029296875
2010-09-22,9566.3203125,6208.330078125,5551.89990234375,1134.280029296875
2010-09-23,9566.3203125,6184.7099609375,5547.10009765625,1124.8299560546875
2010-09-24,9471.669921875,6298.2998046875,5598.5,1148.6700439453125
2010-09-27,9603.1396484375,6278.89013671875,5573.39990234375,1142.1600341796875
2010-09-28,9495.759765625,6276.08984375,5578.39990234375,1147.699951171875
2010-09-29,9559.3798828125,6246.919921875,5569.2998046875,1144.72998046875
2010-09-30,9369.349609375,6229.02001953125,5548.60009765625,1141.199951171875
2010-10-01,9404.23046875,6211.33984375,5592.89990234375,1146.239990234375
2010-10-04,9381.0595703125,6134.2099609375,5556.0,1137.030029296875
2010-10-05,9518.759765625,6215.830078125,5635.7998046875,1160.75
2010-10-06,9691.4296875,6270.72998046875,5681.39990234375,1159.969970703125
2010-10-07,9684.8095703125,6276.25,5662.10009765625,1158.06005859375
2010-10-08,9588.8798828125,6291.669921875,5657.60009765625,1165.1500244140625
2010-10-11,9588.8798828125,6309.509765625,5672.39990234375,1165.3199462890625
2010-10-12,9388.6396484375,6304.56982421875,5661.60009765625,1169.77001953125
2010-10-13,9403.509765625,6434.52001953125,5747.39990234375,1178.0999755859375
2010-10-14,9583.509765625,6455.27001953125,5727.2001953125,1173.81005859375
2010-10-15,9500.25,6492.2998046875,5703.39990234375,1176.18994140625
2010-10-18,9498.490234375,6516.6298828125,5742.5,1184.7099609375
2010-10-19,9539.4501953125,6490.68994140625,5703.89990234375,1165.9000244140625
2010-10-20,9381.599609375,6524.5498046875,5728.89990234375,1178.1700439453125
2010-10-21,9376.48046875,6611.009765625,5757.89990234375,1180.260009765625
2010-10-22,9426.7099609375,6605.83984375,5741.39990234375,1183.0799560546875
2010-10-25,9401.16015625,6639.2099609375,5752.0,1185.6199951171875
2010-10-26,9377.3798828125,6613.7998046875,5707.2998046875,1185.6400146484375
2010-10-27,9387.0302734375,6568.0,5646.0,1182.449951171875
2010-10-28,9366.0302734375,6595.27978515625,5677.89990234375,1183.780029296875
2010-10-29,9202.4501953125,6601.3701171875,5675.2001953125,1183.260009765625
2010-11-01,9154.7197265625,6604.85986328125,5694.60009765625,1184.3800048828125
2010-11-02,9159.98046875,6654.31005859375,5757.39990234375,1193.5699462890625
2010-11-03,9159.98046875,6617.7998046875,5749.0,1197.9599609375
2010-11-04,9358.7802734375,6734.68994140625,5862.7998046875,1221.06005859375
2010-11-05,9625.990234375,6754.2001953125,5875.39990234375,1225.8499755859375
2010-11-08,9732.919921875,6750.5,5850.0,1223.25
2010-11-09,9694.490234375,6787.81005859375,5875.2001953125,1213.4000244140625
2010-11-10,9830.51953125,6719.83984375,5816.89990234375,1218.7099609375
2010-11-11,9861.4599609375,6723.41015625,5815.2001953125,1213.5400390625
2010-11-12,9724.8095703125,6734.60986328125,5796.89990234375,1199.2099609375
2010-11-15,9827.509765625,6790.169921875,5820.39990234375,1197.75
2010-11-16,9797.099609375,6663.240234375,5681.89990234375,1178.3399658203125
2010-11-17,9811.66015625,6700.06982421875,5692.60009765625,1178.5899658203125
2010-11-18,10013.6298828125,6832.10986328125,5768.7001953125,1196.68994140625
2010-11-19,10022.3896484375,6843.5498046875,5732.7998046875,1199.72998046875
2010-11-22,10115.1904296875,6822.0498046875,5680.7998046875,1197.8399658203125
2010-11-23,10115.1904296875,6705.0,5581.2998046875,1180.72998046875
2010-11-24,10030.1103515625,6823.7998046875,5657.10009765625,1198.3499755859375
2010-11-25,10079.759765625,6879.66015625,5698.89990234375,1198.3499755859375
2010-11-26,10039.5595703125,6848.97998046875,5668.7001953125,1189.4000244140625
2010-11-29,10125.990234375,6697.97021484375,5551.0,1187.760009765625
2010-11-30,9937.0400390625,6688.490234375,5528.2998046875,1180.550048828125
2010-12-01,9988.0498046875,6866.6298828125,5642.5,1206.0699462890625
2010-12-02,10168.51953125,6957.60986328125,5767.60009765625,1221.530029296875
2010-12-03,10178.3203125,6947.72021484375,5745.2998046875,1224.7099609375
2010-12-06,10167.23046875,6954.3798828125,5770.2998046875,1223.1199951171875
2010-12-07,10141.099609375,7001.91015625,5808.5,1223.75
2010-12-08,10232.330078125,6975.8701171875,5794.5,1228.280029296875
2010-12-09,10285.8798828125,6964.16015625,5808.0,1233.0
2010-12-10,10211.9501953125,7006.169921875,5813.0,1240.4000244140625
2010-12-13,10293.8896484375,7029.39013671875,5860.7998046875,1240.4599609375
2010-12-14,10316.76953125,7027.39990234375,5891.2001953125,1241.5899658203125
2010-12-15,10309.7802734375,7016.3701171875,5882.2001953125,1235.22998046875
2010-12-16,10311.2900390625,7024.39990234375,5881.10009765625,1242.8699951171875
2010-12-17,10303.830078125,6982.4501953125,5871.7998046875,1243.9100341796875
2010-12-20,10216.41015625,7018.60009765625,5891.60009765625,1247.0799560546875
2010-12-21,10370.5302734375,7077.990234375,5951.7998046875,1254.5999755859375
2010-12-22,10346.48046875,7067.919921875,5983.5,1258.8399658203125
2010-12-23,10346.48046875,7057.68994140625,5996.10009765625,1256.77001953125
2010-12-24,10279.1904296875,7057.68994140625,6008.89990234375,1256.77001953125
2010-12-27,10355.990234375,6970.72998046875,6008.89990234375,1257.5400390625
2010-12-28,10292.6298828125,6972.10009765625,6008.89990234375,1258.510009765625
2010-12-29,10344.5400390625,6995.47021484375,5996.39990234375,1259.780029296875
2010-12-30,10228.919921875,6914.18994140625,5971.0,1257.8800048828125
2010-12-31,10228.919921875,6914.18994140625,5899.89990234375,1257.6400146484375
2011-01-03,10228.919921875,6989.740234375,5899.89990234375,1271.8699951171875
2011-01-04,10398.099609375,6975.35009765625,6013.89990234375,1270.199951171875
2011-01-05,10380.76953125,6939.81982421875,6043.89990234375,1276.56005859375
2011-01-06,10529.759765625,6981.39013671875,6019.5,1273.8499755859375
2011-01-07,10541.0400390625,6947.83984375,5984.2998046875,1271.5
2011-01-10,10541.0400390625,6857.06005859375,5956.2998046875,1269.75
2011-01-11,10510.6796875,6941.56982421875,6014.0,1274.47998046875
2011-01-12,10512.7998046875,7068.77978515625,6050.7001953125,1285.9599609375
2011-01-13,10589.759765625,7075.10986328125,6023.89990234375,1283.760009765625
2011-01-14,10499.0400390625,7075.7001953125,6002.10009765625,1293.239990234375
2011-01-17,10502.8603515625,7078.06005859375,5985.7001953125,1293.239990234375
2011-01-18,10518.98046875,7143.4501953125,6056.39990234375,1295.02001953125
2011-01-19,10557.099609375,7082.759765625,5976.7001953125,1281.9200439453125
2011-01-20,10437.3095703125,7024.27001953125,5867.89990234375,1280.260009765625
2011-01-21,10274.51953125,7062.419921875,5896.2998046875,1283.3499755859375
2011-01-24,10345.1103515625,7067.77001953125,5943.89990234375,1290.8399658203125
2011-01-25,10464.419921875,7059.009765625,5917.7001953125,1291.1800537109375
2011-01-26,10401.900390625,7127.35009765625,5969.2001953125,1296.6300048828125
2011-01-27,10478.66015625,7155.580078125,5965.10009765625,1299.5400390625
2011-01-28,10360.33984375,7102.7998046875,5881.39990234375,1276.3399658203125
2011-01-31,10237.919921875,7077.47998046875,5862.89990234375,1286.1199951171875
2011-02-01,10274.5,7184.27001953125,5957.7998046875,1307.5899658203125
2011-02-02,10457.3603515625,7183.669921875,6000.10009765625,1304.030029296875
2011-02-03,10431.3603515625,7193.68017578125,5983.2998046875,1307.0999755859375
2011-02-04,10543.51953125,7216.2099609375,5997.39990234375,1310.8699951171875
2011-02-07,10592.0400390625,7283.6201171875,6051.0,1319.050048828125
2011-02-08,10635.98046875,7323.240234375,6091.2998046875,1324.5699462890625
2011-02-09,10617.830078125,7320.89990234375,6052.2998046875,1320.8800048828125
2011-02-10,10605.650390625,7340.27978515625,6020.0,1321.8699951171875
2011-02-11,10605.650390625,7371.2001953125,6062.89990234375,1329.1500244140625
2011-02-14,10725.5400390625,7396.6298828125,6060.10009765625,1332.3199462890625
2011-02-15,10746.669921875,7400.0400390625,6037.10009765625,1328.010009765625
2011-02-16,10808.2900390625,7414.2998046875,6085.2998046875,1336.3199462890625
2011-02-17,10836.6396484375,7405.509765625,6087.39990234375,1340.4300537109375
2011-02-18,10842.7998046875,7426.81005859375,6083.0,1343.010009765625
2011-02-21,10857.5302734375,7321.81005859375,6014.7998046875,1343.010009765625
2011-02-22,10664.7001953125,7318.35009765625,5996.7998046875,1315.43994140625
2011-02-23,10579.099609375,7194.60009765625,5923.5,1307.4000244140625
2011-02-24,10452.7099609375,7130.5,5920.0,1306.0999755859375
2011-02-25,10526.759765625,7185.169921875,6001.2001953125,1319.8800048828125
2011-02-28,10624.08984375,7272.31982421875,5994.0,1327.219970703125
2011-03-01,10754.0302734375,7223.2998046875,5935.7998046875,1306.3299560546875
2011-03-02,10492.3798828125,7181.1201171875,5914.89990234375,1308.43994140625
2011-03-03,10586.01953125,7225.9599609375,6005.10009765625,1330.969970703125
2011-03-04,10693.66015625,7178.89990234375,5990.39990234375,1321.1500244140625
2011-03-07,10505.01953125,7161.93017578125,5973.7998046875,1310.1300048828125
2011-03-08,10525.1904296875,7164.75,5974.7998046875,1321.8199462890625
2011-03-09,10589.5,7131.7998046875,5937.2998046875,1320.02001953125
2011-03-10,10434.3798828125,7063.08984375,5845.2998046875,1295.1099853515625
2011-03-11,10254.4296875,6981.490234375,5828.7001953125,1304.280029296875
2011-03-14,9620.490234375,6866.6298828125,5775.2001953125,1296.3900146484375
2011-03-15,8605.150390625,6647.66015625,5695.2998046875,1281.8699951171875
2011-03-16,9093.7197265625,6513.83984375,5598.2001953125,1256.8800048828125
2011-03-17,8962.669921875,6656.8798828125,5696.10009765625,1273.719970703125
2011-03-18,9206.75,6664.39990234375,5718.10009765625,1279.2099609375
2011-03-21,9206.75,6816.1201171875,5786.10009765625,1298.3800048828125
2011-03-22,9608.3203125,6780.97021484375,5762.7001953125,1293.77001953125
2011-03-23,9449.4697265625,6804.4501953125,5795.89990234375,1297.5400390625
2011-03-24,9435.009765625,6933.580078125,5880.89990234375,1309.6600341796875
2011-03-25,9536.1298828125,6946.35986328125,5900.7998046875,1313.800048828125
2011-03-28,9478.5302734375,6938.6298828125,5904.5,1310.18994140625
2011-03-29,9459.080078125,6934.43994140625,5932.2001953125,1319.43994140625
2011-03-30,9708.7900390625,7057.14990234375,5948.2998046875,1328.260009765625
2011-03-31,9755.099609375,7041.31005859375,5908.7998046875,1325.8299560546875
2011-04-01,9708.3896484375,7179.81005859375,6009.89990234375,1332.4100341796875
